imenica	frekvencija	potvrđen_genitiv	padež	predlog	napomena
kanalisanje	55	kanalisanja	I jd	kanalisanjem	
klečanje	55	klečanja	D/L jd	klečanju	
klečanje	55	klečanja	I jd	klečanjem	
nasilništvo	55	nasilništva	D/L jd	nasilništvu	
nasilništvo	55	nasilništva	I jd	nasilništvom	
opipavanje	55	opipavanja	D/L jd	opipavanju	
opipavanje	55	opipavanja	I jd	opipavanjem	
opkoljavanje	55	opkoljavanja	D/L jd	opkoljavanju	
otvorenje	55	otvorenja	I jd	otvorenjem	
točenje	55	točenja	I jd	točenjem	
čestitanje	55	čestitanja	I jd	čestitanjem	
izležavanje	54	izležavanja	I jd	izležavanjem	
otezanje	54	otezanja	D/L jd	otezanju	
pridavanje	54	pridavanja	I jd	pridavanjem	
priklanjanje	54	priklanjanja	D/L jd	priklanjanju	
priklanjanje	54	priklanjanja	I jd	priklanjanjem	
razoružanje	54	razoružanja	I jd	razoružanjem	
terorisanje	54	terorisanja	I jd	terorisanjem	
brdašce	53	brdašca	I jd	brdašcem	
glumljenje	53	glumljenja	D/L jd	glumljenju	
glumljenje	53	glumljenja	I jd	glumljenjem	
grotlo	53	grotla	I jd	grotlom	
hranilište	53	hranilišta	I jd	hranilištem	
lekarstvo	53	lekarstva	D/L jd	lekarstvu	
lekarstvo	53	lekarstva	I jd	lekarstvom	
pričešćivanje	53	pričešćivanja	D/L jd	pričešćivanju	
pričešćivanje	53	pričešćivanja	I jd	pričešćivanjem	
ratište	53	ratišta	I jd	ratištem	
samouništenje	53	samouništenja	I jd	samouništenjem	
blagosiljanje	52	blagosiljanja	D/L jd	blagosiljanju	
blagosiljanje	52	blagosiljanja	I jd	blagosiljanjem	
dimljenje	52	dimljenja	D/L jd	dimljenju	
ispaljivanje	52	ispaljivanja	D/L jd	ispaljivanju	
lažiranje	52	lažiranja	I jd	lažiranjem	
nabacivanje	52	nabacivanja	D/L jd	nabacivanju	
nabacivanje	52	nabacivanja	I jd	nabacivanjem	
ogrešenje	52	ogrešenja	I jd	ogrešenjem	
orgijanje	52	orgijanja	D/L jd	orgijanju	
orgijanje	52	orgijanja	I jd	orgijanjem	
pomorstvo	52	pomorstva	I jd	pomorstvom	
shvaćanje	52	shvaćanja	I jd	shvaćanjem	
spletkarenje	52	spletkarenja	D/L jd	spletkarenju	
spletkarenje	52	spletkarenja	I jd	spletkarenjem	
utiskivanje	52	utiskivanja	D/L jd	utiskivanju	
utiskivanje	52	utiskivanja	I jd	utiskivanjem	
vibriranje	52	vibriranja	D/L jd	vibriranju	
vibriranje	52	vibriranja	I jd	vibriranjem	
zavrtanje	52	zavrtanja	D/L jd	zavrtanju	
zavrtanje	52	zavrtanja	I jd	zavrtanjem	
zidarstvo	52	zidarstva	I jd	zidarstvom	
cviljenje	51	cviljenja	D/L jd	cviljenju	
cviljenje	51	cviljenja	I jd	cviljenjem	
demoliranje	51	demoliranja	D/L jd	demoliranju	
demoliranje	51	demoliranja	I jd	demoliranjem	
flamingo	51	flaminga	I jd	flamingom	
istrebljivanje	51	istrebljivanja	D/L jd	istrebljivanju	
istrebljivanje	51	istrebljivanja	I jd	istrebljivanjem	
kumče	51	kumčeta	I jd	kumčetom	proširena osnova
nedavanje	51	nedavanja	D/L jd	nedavanju	
neispunjenje	51	neispunjenja	D/L jd	neispunjenju	
neispunjenje	51	neispunjenja	I jd	neispunjenjem	
njihanje	51	njihanja	D/L jd	njihanju	
njihanje	51	njihanja	I jd	njihanjem	
proklizavanje	51	proklizavanja	D/L jd	proklizavanju	
razmetanje	51	razmetanja	I jd	razmetanjem	
sputavanje	51	sputavanja	I jd	sputavanjem	
svlačenje	51	svlačenja	I jd	svlačenjem	
buntovništvo	50	buntovništva	D/L jd	buntovništvu	
buntovništvo	50	buntovništva	I jd	buntovništvom	
premotavanje	50	premotavanja	D/L jd	premotavanju	
premotavanje	50	premotavanja	I jd	premotavanjem	
preokretanje	50	preokretanja	D/L jd	preokretanju	
preokretanje	50	preokretanja	I jd	preokretanjem	
pripitomljavanje	50	pripitomljavanja	D/L jd	pripitomljavanju	
pripitomljavanje	50	pripitomljavanja	I jd	pripitomljavanjem	
rastvaranje	50	rastvaranja	D/L jd	rastvaranju	
rastvaranje	50	rastvaranja	I jd	rastvaranjem	
blefiranje	49	blefiranja	D/L jd	blefiranju	
blefiranje	49	blefiranja	I jd	blefiranjem	
gumno	49	gumna	I jd	gumnom	
nespokojstvo	49	nespokojstva	D/L jd	nespokojstvu	
zavojište	49	zavojišta	I jd	zavojištem	
jastvo	48	jastva	D/L jd	jastvu	
jastvo	48	jastva	I jd	jastvom	
kotrljanje	48	kotrljanja	D/L jd	kotrljanju	
mrmljanje	48	mrmljanja	D/L jd	mrmljanju	
mrmljanje	48	mrmljanja	I jd	mrmljanjem	
obedovanje	48	obedovanja	I jd	obedovanjem	
poslanje	48	poslanja	I jd	poslanjem	
poticanje	48	poticanja	D/L jd	poticanju	
poticanje	48	poticanja	I jd	poticanjem	
predubeđenje	48	predubeđenja	D/L jd	predubeđenju	
predubeđenje	48	predubeđenja	I jd	predubeđenjem	
retuširanje	48	retuširanja	D/L jd	retuširanju	
retuširanje	48	retuširanja	I jd	retuširanjem	
svinjče	48	svinjčeta	D/L jd	svinjčetu	proširena osnova
trpanje	48	trpanja	D/L jd	trpanju	
trpanje	48	trpanja	I jd	trpanjem	
zatočeništvo	48	zatočeništva	I jd	zatočeništvom	
bunilo	47	bunila	I jd	bunilom	
devičanstvo	47	devičanstva	D/L jd	devičanstvu	
devičanstvo	47	devičanstva	I jd	devičanstvom	
otpremanje	47	otpremanja	D/L jd	otpremanju	
otpremanje	47	otpremanja	I jd	otpremanjem	
saplitanje	47	saplitanja	D/L jd	saplitanju	
svaljivanje	47	svaljivanja	D/L jd	svaljivanju	
svaljivanje	47	svaljivanja	I jd	svaljivanjem	
usijanje	47	usijanja	D/L jd	usijanju	
usijanje	47	usijanja	I jd	usijanjem	
branjenje	46	branjenja	I jd	branjenjem	
gubilište	46	gubilišta	I jd	gubilištem	
piskaranje	46	piskaranja	I jd	piskaranjem	
pobrđe	46	pobrđa	D/L jd	pobrđu	
prianjanje	46	prianjanja	D/L jd	prianjanju	
prianjanje	46	prianjanja	I jd	prianjanjem	
prigovaranje	46	prigovaranja	I jd	prigovaranjem	
pruće	46	pruća	D/L jd	pruću	
roštiljanje	46	roštiljanja	I jd	roštiljanjem	
saldiranje	46	saldiranja	D/L jd	saldiranju	
saldiranje	46	saldiranja	I jd	saldiranjem	
trebovanje	46	trebovanja	I jd	trebovanjem	
intoniranje	45	intoniranja	I jd	intoniranjem	
isplovljavanje	45	isplovljavanja	D/L jd	isplovljavanju	
isplovljavanje	45	isplovljavanja	I jd	isplovljavanjem	
jadikovanje	45	jadikovanja	I jd	jadikovanjem	
koračanje	45	koračanja	I jd	koračanjem	
mlekarstvo	45	mlekarstva	I jd	mlekarstvom	
namirivanje	45	namirivanja	I jd	namirivanjem	
narezivanje	45	narezivanja	I jd	narezivanjem	
neizvršenje	45	neizvršenja	I jd	neizvršenjem	
nerešavanje	45	nerešavanja	I jd	nerešavanjem	
neučestvovanje	45	neučestvovanja	D/L jd	neučestvovanju	
neučestvovanje	45	neučestvovanja	I jd	neučestvovanjem	
oplakivanje	45	oplakivanja	I jd	oplakivanjem	
pametovanje	45	pametovanja	D/L jd	pametovanju	
pametovanje	45	pametovanja	I jd	pametovanjem	
pokušavanje	45	pokušavanja	D/L jd	pokušavanju	
soljenje	45	soljenja	D/L jd	soljenju	
sporenje	45	sporenja	I jd	sporenjem	
glumatanje	44	glumatanja	D/L jd	glumatanju	
gnojivo	44	gnojiva	D/L jd	gnojivu	
izdizanje	44	izdizanja	D/L jd	izdizanju	
izdizanje	44	izdizanja	I jd	izdizanjem	
neizdavanje	44	neizdavanja	D/L jd	neizdavanju	
neizdavanje	44	neizdavanja	I jd	neizdavanjem	
pomicanje	44	pomicanja	D/L jd	pomicanju	
pospremanje	44	pospremanja	D/L jd	pospremanju	
pospremanje	44	pospremanja	I jd	pospremanjem	
potiranje	44	potiranja	I jd	potiranjem	
pregledavanje	44	pregledavanja	D/L jd	pregledavanju	
pregledavanje	44	pregledavanja	I jd	pregledavanjem	
preotimanje	44	preotimanja	I jd	preotimanjem	
samozadovoljstvo	44	samozadovoljstva	D/L jd	samozadovoljstvu	
samozadovoljstvo	44	samozadovoljstva	I jd	samozadovoljstvom	
suzdržavanje	44	suzdržavanja	D/L jd	suzdržavanju	
suzdržavanje	44	suzdržavanja	I jd	suzdržavanjem	
trabunjanje	44	trabunjanja	I jd	trabunjanjem	
upiranje	44	upiranja	D/L jd	upiranju	
upiranje	44	upiranja	I jd	upiranjem	
usađivanje	44	usađivanja	D/L jd	usađivanju	
usađivanje	44	usađivanja	I jd	usađivanjem	
varničenje	44	varničenja	D/L jd	varničenju	
varničenje	44	varničenja	I jd	varničenjem	
dahtanje	43	dahtanja	I jd	dahtanjem	
dekorisanje	43	dekorisanja	D/L jd	dekorisanju	
dekorisanje	43	dekorisanja	I jd	dekorisanjem	
jednačenje	43	jednačenja	D/L jd	jednačenju	
jednačenje	43	jednačenja	I jd	jednačenjem	
kučence	43	kučenceta	D/L jd	kučencetu	proširena osnova
nemirenje	43	nemirenja	D/L jd	nemirenju	
nemirenje	43	nemirenja	I jd	nemirenjem	
prolaženje	43	prolaženja	I jd	prolaženjem	
uzvraćanje	43	uzvraćanja	D/L jd	uzvraćanju	
glupiranje	42	glupiranja	D/L jd	glupiranju	
gostoljublje	42	gostoljublja	I jd	gostoljubljem	
jurcanje	42	jurcanja	D/L jd	jurcanju	
jurcanje	42	jurcanja	I jd	jurcanjem	
kapanje	42	kapanja	I jd	kapanjem	
nazivlje	42	nazivlja	I jd	nazivljem	
ozvaničenje	42	ozvaničenja	I jd	ozvaničenjem	
plavljenje	42	plavljenja	D/L jd	plavljenju	
plavljenje	42	plavljenja	I jd	plavljenjem	
pristizanje	42	pristizanja	I jd	pristizanjem	
službovanje	42	službovanja	I jd	službovanjem	
srastanje	42	srastanja	D/L jd	srastanju	
trkanje	42	trkanja	I jd	trkanjem	
uračunavanje	42	uračunavanja	D/L jd	uračunavanju	
uračunavanje	42	uračunavanja	I jd	uračunavanjem	
uzurpiranje	42	uzurpiranja	I jd	uzurpiranjem	
učvršćenje	42	učvršćenja	I jd	učvršćenjem	
dovršavanje	41	dovršavanja	I jd	dovršavanjem	
gudalo	41	gudala	D/L jd	gudalu	
kotiranje	41	kotiranja	D/L jd	kotiranju	
kotiranje	41	kotiranja	I jd	kotiranjem	
nagovaranje	41	nagovaranja	I jd	nagovaranjem	
očitovanje	41	očitovanja	D/L jd	očitovanju	
očitovanje	41	očitovanja	I jd	očitovanjem	
paganstvo	41	paganstva	D/L jd	paganstvu	
paganstvo	41	paganstva	I jd	paganstvom	
posredništvo	41	posredništva	D/L jd	posredništvu	
posredništvo	41	posredništva	I jd	posredništvom	
prikazanje	41	prikazanja	D/L jd	prikazanju	
prikazanje	41	prikazanja	I jd	prikazanjem	
prilaženje	41	prilaženja	I jd	prilaženjem	
svršavanje	41	svršavanja	I jd	svršavanjem	
trijenale	41	trijenala	I jd	trijenalem	
uskakanje	41	uskakanja	D/L jd	uskakanju	
uskakanje	41	uskakanja	I jd	uskakanjem	
uvezivanje	41	uvezivanja	D/L jd	uvezivanju	
uvezivanje	41	uvezivanja	I jd	uvezivanjem	
zgrušavanje	41	zgrušavanja	I jd	zgrušavanjem	
žigolo	41	žigola	D/L jd	žigolu	
iskrivljenje	40	iskrivljenja	D/L jd	iskrivljenju	
iskrivljenje	40	iskrivljenja	I jd	iskrivljenjem	
karikiranje	40	karikiranja	D/L jd	karikiranju	
karikiranje	40	karikiranja	I jd	karikiranjem	
nalaganje	40	nalaganja	I jd	nalaganjem	
namigivanje	40	namigivanja	D/L jd	namigivanju	
oštećivanje	40	oštećivanja	I jd	oštećivanjem	
plutanje	40	plutanja	D/L jd	plutanju	
plutanje	40	plutanja	I jd	plutanjem	
presedanje	40	presedanja	D/L jd	presedanju	
silaženje	40	silaženja	I jd	silaženjem	
tavorenje	40	tavorenja	I jd	tavorenjem	
ulagivanje	40	ulagivanja	D/L jd	ulagivanju	
uplaćivanje	40	uplaćivanja	D/L jd	uplaćivanju	
uplaćivanje	40	uplaćivanja	I jd	uplaćivanjem	
životarenje	40	životarenja	D/L jd	životarenju	
životarenje	40	životarenja	I jd	životarenjem	
krkljanje	39	krkljanja	D/L jd	krkljanju	
krkljanje	39	krkljanja	I jd	krkljanjem	
odgonetanje	39	odgonetanja	I jd	odgonetanjem	
odupiranje	39	odupiranja	I jd	odupiranjem	
potpitanje	39	potpitanja	I jd	potpitanjem	
probanje	39	probanja	D/L jd	probanju	
probanje	39	probanja	I jd	probanjem	
sondiranje	39	sondiranja	D/L jd	sondiranju	
titlovanje	39	titlovanja	D/L jd	titlovanju	
titlovanje	39	titlovanja	I jd	titlovanjem	
tlačenje	39	tlačenja	I jd	tlačenjem	
vime	39	vimena	D/L jd	vimenu	proširena osnova
kikotanje	38	kikotanja	D/L jd	kikotanju	
kikotanje	38	kikotanja	I jd	kikotanjem	
krilce	38	krilca	D/L jd	krilcu	
krilce	38	krilca	I jd	krilcem	
lebdenje	38	lebdenja	D/L jd	lebdenju	
lebdenje	38	lebdenja	I jd	lebdenjem	
mumlanje	38	mumlanja	D/L jd	mumlanju	
mumlanje	38	mumlanja	I jd	mumlanjem	
obitavalište	38	obitavališta	D/L jd	obitavalištu	
obitavalište	38	obitavališta	I jd	obitavalištem	
opozivanje	38	opozivanja	I jd	opozivanjem	
osvrtanje	38	osvrtanja	I jd	osvrtanjem	
postrojavanje	38	postrojavanja	I jd	postrojavanjem	
raspoznavanje	38	raspoznavanja	D/L jd	raspoznavanju	
raspoznavanje	38	raspoznavanja	I jd	raspoznavanjem	
stopiranje	38	stopiranja	I jd	stopiranjem	
sudaranje	38	sudaranja	D/L jd	sudaranju	
uvrštavanje	38	uvrštavanja	D/L jd	uvrštavanju	
uvrštavanje	38	uvrštavanja	I jd	uvrštavanjem	
zubalo	38	zubala	D/L jd	zubalu	
adaptiranje	37	adaptiranja	D/L jd	adaptiranju	
adaptiranje	37	adaptiranja	I jd	adaptiranjem	
isceljivanje	37	isceljivanja	I jd	isceljivanjem	
iskušavanje	37	iskušavanja	D/L jd	iskušavanju	
iskušavanje	37	iskušavanja	I jd	iskušavanjem	
izručivanje	37	izručivanja	I jd	izručivanjem	
narastanje	37	narastanja	D/L jd	narastanju	
podupiranje	37	podupiranja	D/L jd	podupiranju	
podupiranje	37	podupiranja	I jd	podupiranjem	
ulegnuće	37	ulegnuća	D/L jd	ulegnuću	
ulegnuće	37	ulegnuća	I jd	ulegnućem	
ulizivanje	37	ulizivanja	D/L jd	ulizivanju	
upozoravanje	37	upozoravanja	D/L jd	upozoravanju	
upozoravanje	37	upozoravanja	I jd	upozoravanjem	
zakopavanje	37	zakopavanja	I jd	zakopavanjem	
šibanje	37	šibanja	D/L jd	šibanju	
šibanje	37	šibanja	I jd	šibanjem	
baždarenje	36	baždarenja	I jd	baždarenjem	
brojilo	36	brojila	D/L jd	brojilu	
brojilo	36	brojila	I jd	brojilom	
guvno	36	guvna	I jd	guvnom	
jevrejstvo	36	jevrejstva	I jd	jevrejstvom	
mrštenje	36	mrštenja	D/L jd	mrštenju	
pipanje	36	pipanja	D/L jd	pipanju	
prilagođenje	36	prilagođenja	D/L jd	prilagođenju	
prilagođenje	36	prilagođenja	I jd	prilagođenjem	
sastajanje	36	sastajanja	D/L jd	sastajanju	
sastajanje	36	sastajanja	I jd	sastajanjem	
zbunjivanje	36	zbunjivanja	D/L jd	zbunjivanju	
zbunjivanje	36	zbunjivanja	I jd	zbunjivanjem	
akušerstvo	35	akušerstva	D/L jd	akušerstvu	
akušerstvo	35	akušerstva	I jd	akušerstvom	
dovlačenje	35	dovlačenja	I jd	dovlačenjem	
džeparenje	35	džeparenja	D/L jd	džeparenju	
džeparenje	35	džeparenja	I jd	džeparenjem	
friziranje	35	friziranja	D/L jd	friziranju	
friziranje	35	friziranja	I jd	friziranjem	
nameštenje	35	nameštenja	D/L jd	nameštenju	
nameštenje	35	nameštenja	I jd	nameštenjem	
ognjilo	35	ognjila	I jd	ognjilom	
probadanje	35	probadanja	D/L jd	probadanju	
zahvaljivanje	35	zahvaljivanja	D/L jd	zahvaljivanju	
dremanje	34	dremanja	I jd	dremanjem	
kreštanje	34	kreštanja	D/L jd	kreštanju	
piratstvo	34	piratstva	D/L jd	piratstvu	
piratstvo	34	piratstva	I jd	piratstvom	
podignuće	34	podignuća	I jd	podignućem	
smetanje	34	smetanja	D/L jd	smetanju	
smetanje	34	smetanja	I jd	smetanjem	
utrnuće	34	utrnuća	D/L jd	utrnuću	
utrnuće	34	utrnuća	I jd	utrnućem	
uzletanje	34	uzletanja	D/L jd	uzletanju	
zabrđe	34	zabrđa	D/L jd	zabrđu	
zabrđe	34	zabrđa	I jd	zabrđem	
dingo	33	dinga	D/L jd	dingu	
dingo	33	dinga	I jd	dingom	
mučilište	33	mučilišta	I jd	mučilištem	
punilo	33	punila	D/L jd	punilu	
punilo	33	punila	I jd	punilom	
raketiranje	33	raketiranja	I jd	raketiranjem	
ušivanje	33	ušivanja	D/L jd	ušivanju	
ušivanje	33	ušivanja	I jd	ušivanjem	
štipanje	33	štipanja	D/L jd	štipanju	
štovanje	33	štovanja	I jd	štovanjem	
dosezanje	32	dosezanja	D/L jd	dosezanju	
dosezanje	32	dosezanja	I jd	dosezanjem	
izmicanje	32	izmicanja	I jd	izmicanjem	
ključanje	32	ključanja	I jd	ključanjem	
prebiranje	32	prebiranja	D/L jd	prebiranju	
preobraćenje	32	preobraćenja	D/L jd	preobraćenju	
preobraćenje	32	preobraćenja	I jd	preobraćenjem	
puškaranje	32	puškaranja	I jd	puškaranjem	
rastrojstvo	32	rastrojstva	I jd	rastrojstvom	
sabotiranje	32	sabotiranja	D/L jd	sabotiranju	
sabotiranje	32	sabotiranja	I jd	sabotiranjem	
sidrište	32	sidrišta	D/L jd	sidrištu	
sidrište	32	sidrišta	I jd	sidrištem	
ugledanje	32	ugledanja	D/L jd	ugledanju	
ugledanje	32	ugledanja	I jd	ugledanjem	
uzbunjivanje	32	uzbunjivanja	D/L jd	uzbunjivanju	
uzbunjivanje	32	uzbunjivanja	I jd	uzbunjivanjem	
vrhnje	32	vrhnja	D/L jd	vrhnju	
zapuštanje	32	zapuštanja	D/L jd	zapuštanju	
zapuštanje	32	zapuštanja	I jd	zapuštanjem	
lenčarenje	31	lenčarenja	I jd	lenčarenjem	
ludovanje	31	ludovanja	D/L jd	ludovanju	
moljakanje	31	moljakanja	D/L jd	moljakanju	
nagnječenje	31	nagnječenja	D/L jd	nagnječenju	
naslanjanje	31	naslanjanja	D/L jd	naslanjanju	
podvođenje	31	podvođenja	D/L jd	podvođenju	
podvođenje	31	podvođenja	I jd	podvođenjem	
svrdlo	31	svrdla	D/L jd	svrdlu	
tempiranje	31	tempiranja	D/L jd	tempiranju	
tempiranje	31	tempiranja	I jd	tempiranjem	
udvostručavanje	31	udvostručavanja	D/L jd	udvostručavanju	
udvostručavanje	31	udvostručavanja	I jd	udvostručavanjem	
utelovljenje	31	utelovljenja	D/L jd	utelovljenju	
utelovljenje	31	utelovljenja	I jd	utelovljenjem	
zakrčenje	31	zakrčenja	D/L jd	zakrčenju	
zakrčenje	31	zakrčenja	I jd	zakrčenjem	
zelenaštvo	31	zelenaštva	D/L jd	zelenaštvu	
zelenaštvo	31	zelenaštva	I jd	zelenaštvom	
gusarenje	30	gusarenja	D/L jd	gusarenju	
gusarenje	30	gusarenja	I jd	gusarenjem	
izrađivanje	30	izrađivanja	I jd	izrađivanjem	
klaćenje	30	klaćenja	D/L jd	klaćenju	
klaćenje	30	klaćenja	I jd	klaćenjem	
ocrtavanje	30	ocrtavanja	D/L jd	ocrtavanju	
ocrtavanje	30	ocrtavanja	I jd	ocrtavanjem	
ospice	30	ospica	D/L jd	ospicu	
ospice	30	ospica	I jd	ospicem	
podleganje	30	podleganja	D/L jd	podleganju	
podleganje	30	podleganja	I jd	podleganjem	
prerušavanje	30	prerušavanja	I jd	prerušavanjem	
prispeće	30	prispeća	I jd	prispećem	
radilište	30	radilišta	I jd	radilištem	
raznošenje	30	raznošenja	D/L jd	raznošenju	
stišavanje	30	stišavanja	I jd	stišavanjem	
ujedanje	30	ujedanja	I jd	ujedanjem	
zasipanje	30	zasipanja	D/L jd	zasipanju	
zasipanje	30	zasipanja	I jd	zasipanjem	
batrganje	29	batrganja	D/L jd	batrganju	
borilište	29	borilišta	I jd	borilištem	
deranje	29	deranja	D/L jd	deranju	
deranje	29	deranja	I jd	deranjem	
dezerterstvo	29	dezerterstva	D/L jd	dezerterstvu	
dezerterstvo	29	dezerterstva	I jd	dezerterstvom	
grnčarstvo	29	grnčarstva	D/L jd	grnčarstvu	
grnčarstvo	29	grnčarstva	I jd	grnčarstvom	
smaknuće	29	smaknuća	I jd	smaknućem	
stizanje	29	stizanja	I jd	stizanjem	
umaranje	29	umaranja	I jd	umaranjem	
uzgajalište	29	uzgajališta	I jd	uzgajalištem	
zaleđivanje	29	zaleđivanja	D/L jd	zaleđivanju	
zaleđivanje	29	zaleđivanja	I jd	zaleđivanjem	
združivanje	29	združivanja	D/L jd	združivanju	
združivanje	29	združivanja	I jd	združivanjem	
čarobnjaštvo	29	čarobnjaštva	D/L jd	čarobnjaštvu	
čarobnjaštvo	29	čarobnjaštva	I jd	čarobnjaštvom	
škrgutanje	29	škrgutanja	D/L jd	škrgutanju	
škrgutanje	29	škrgutanja	I jd	škrgutanjem	
drmusanje	28	drmusanja	D/L jd	drmusanju	
drmusanje	28	drmusanja	I jd	drmusanjem	
junačenje	28	junačenja	D/L jd	junačenju	
junačenje	28	junačenja	I jd	junačenjem	
međurečje	28	međurečja	I jd	međurečjem	
nadleštvo	28	nadleštva	I jd	nadleštvom	
odcepljenje	28	odcepljenja	D/L jd	odcepljenju	
odcepljenje	28	odcepljenja	I jd	odcepljenjem	
oporavljanje	28	oporavljanja	D/L jd	oporavljanju	
oporavljanje	28	oporavljanja	I jd	oporavljanjem	
oproštenje	28	oproštenja	D/L jd	oproštenju	
pepelište	28	pepelišta	D/L jd	pepelištu	
pepelište	28	pepelišta	I jd	pepelištem	
prizemlje	28	prizemlja	I jd	prizemljem	
protezanje	28	protezanja	I jd	protezanjem	
provaljivanje	28	provaljivanja	I jd	provaljivanjem	
proštenje	28	proštenja	D/L jd	proštenju	
proštenje	28	proštenja	I jd	proštenjem	
razapinjanje	28	razapinjanja	D/L jd	razapinjanju	
razapinjanje	28	razapinjanja	I jd	razapinjanjem	
račvanje	28	račvanja	D/L jd	račvanju	
račvanje	28	račvanja	I jd	račvanjem	
sravnjivanje	28	sravnjivanja	D/L jd	sravnjivanju	
sravnjivanje	28	sravnjivanja	I jd	sravnjivanjem	
tužakanje	28	tužakanja	D/L jd	tužakanju	
tužakanje	28	tužakanja	I jd	tužakanjem	
uznesenje	28	uznesenja	D/L jd	uznesenju	
uznesenje	28	uznesenja	I jd	uznesenjem	
čajniče	28	čajniča	I jd	čajničem	
diplomiranje	27	diplomiranja	I jd	diplomiranjem	
diranje	27	diranja	D/L jd	diranju	
diranje	27	diranja	I jd	diranjem	
drugovanje	27	drugovanja	D/L jd	drugovanju	
drugovanje	27	drugovanja	I jd	drugovanjem	
kupljenje	27	kupljenja	I jd	kupljenjem	
otkidanje	27	otkidanja	D/L jd	otkidanju	
otkidanje	27	otkidanja	I jd	otkidanjem	
pišanje	27	pišanja	D/L jd	pišanju	
pišanje	27	pišanja	I jd	pišanjem	
potkradanje	27	potkradanja	I jd	potkradanjem	
robijanje	27	robijanja	I jd	robijanjem	
zgrtanje	27	zgrtanja	D/L jd	zgrtanju	
zgrtanje	27	zgrtanja	I jd	zgrtanjem	
čistunstvo	27	čistunstva	I jd	čistunstvom	
dojenče	26	dojenčeta	I jd	dojenčetom	proširena osnova
grumenje	26	grumenja	D/L jd	grumenju	
grumenje	26	grumenja	I jd	grumenjem	
inžinjerstvo	26	inžinjerstva	D/L jd	inžinjerstvu	
inžinjerstvo	26	inžinjerstva	I jd	inžinjerstvom	
ispaštanje	26	ispaštanja	I jd	ispaštanjem	
jaukanje	26	jaukanja	D/L jd	jaukanju	
kresivo	26	kresiva	D/L jd	kresivu	
logorovanje	26	logorovanja	I jd	logorovanjem	
nastanjenje	26	nastanjenja	I jd	nastanjenjem	
odražavanje	26	odražavanja	I jd	odražavanjem	
osnaženje	26	osnaženja	I jd	osnaženjem	
poskakivanje	26	poskakivanja	D/L jd	poskakivanju	
poskakivanje	26	poskakivanja	I jd	poskakivanjem	
promicanje	26	promicanja	D/L jd	promicanju	
promicanje	26	promicanja	I jd	promicanjem	
saobraćanje	26	saobraćanja	I jd	saobraćanjem	
seciranje	26	seciranja	D/L jd	seciranju	
seciranje	26	seciranja	I jd	seciranjem	
sretanje	26	sretanja	I jd	sretanjem	
svetkovanje	26	svetkovanja	I jd	svetkovanjem	
uveličavanje	26	uveličavanja	D/L jd	uveličavanju	
uveličavanje	26	uveličavanja	I jd	uveličavanjem	
učiteljstvo	26	učiteljstva	I jd	učiteljstvom	
zamračenje	26	zamračenja	I jd	zamračenjem	
zanovetanje	26	zanovetanja	D/L jd	zanovetanju	
zanovetanje	26	zanovetanja	I jd	zanovetanjem	
šilo	26	šila	D/L jd	šilu	
baljezganje	25	baljezganja	D/L jd	baljezganju	
baljezganje	25	baljezganja	I jd	baljezganjem	
gužvanje	25	gužvanja	D/L jd	gužvanju	
gužvanje	25	gužvanja	I jd	gužvanjem	
kukurikanje	25	kukurikanja	I jd	kukurikanjem	
naslućivanje	25	naslućivanja	D/L jd	naslućivanju	
naslućivanje	25	naslućivanja	I jd	naslućivanjem	
okončavanje	25	okončavanja	D/L jd	okončavanju	
okončavanje	25	okončavanja	I jd	okončavanjem	
pipkanje	25	pipkanja	D/L jd	pipkanju	
pipkanje	25	pipkanja	I jd	pipkanjem	
prosecanje	25	prosecanja	I jd	prosecanjem	
sedanje	25	sedanja	D/L jd	sedanju	
sedanje	25	sedanja	I jd	sedanjem	
surfanje	25	surfanja	I jd	surfanjem	
udubljivanje	25	udubljivanja	I jd	udubljivanjem	
zarobljeništvo	25	zarobljeništva	I jd	zarobljeništvom	
zgušnjavanje	25	zgušnjavanja	I jd	zgušnjavanjem	
zvonjenje	25	zvonjenja	D/L jd	zvonjenju	
čeprkanje	25	čeprkanja	D/L jd	čeprkanju	
čeprkanje	25	čeprkanja	I jd	čeprkanjem	
šepurenje	25	šepurenja	D/L jd	šepurenju	
šepurenje	25	šepurenja	I jd	šepurenjem	
živinče	25	živinčeta	I jd	živinčetom	proširena osnova
gurkanje	24	gurkanja	D/L jd	gurkanju	
gurkanje	24	gurkanja	I jd	gurkanjem	
iskliznuće	24	iskliznuća	D/L jd	iskliznuću	
iskliznuće	24	iskliznuća	I jd	iskliznućem	
kroćenje	24	kroćenja	I jd	kroćenjem	
masturbiranje	24	masturbiranja	D/L jd	masturbiranju	
masturbiranje	24	masturbiranja	I jd	masturbiranjem	
nastanjivanje	24	nastanjivanja	D/L jd	nastanjivanju	
nastanjivanje	24	nastanjivanja	I jd	nastanjivanjem	
nevaljalstvo	24	nevaljalstva	D/L jd	nevaljalstvu	
nevaljalstvo	24	nevaljalstva	I jd	nevaljalstvom	
odmotavanje	24	odmotavanja	D/L jd	odmotavanju	
rezbarenje	24	rezbarenja	D/L jd	rezbarenju	
rezbarenje	24	rezbarenja	I jd	rezbarenjem	
saginjanje	24	saginjanja	D/L jd	saginjanju	
sektaštvo	24	sektaštva	D/L jd	sektaštvu	
